Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D136,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,125.85,-71.9,0.0,top
D137,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,128.15,-71.9,0.0,top
D138,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,130.45,-71.9,0.0,top
D139,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,132.75,-71.9,0.0,top
D14,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,139.65,-53.5,0.0,top
D140,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,135.05,-71.9,0.0,top
D141,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,137.35,-71.9,0.0,top
D142,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,139.65,-71.9,0.0,top
D143,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,141.95,-71.9,0.0,top
D144,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,144.25,-71.9,0.0,top
D145,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,109.75,-74.2,0.0,top
D146,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,112.05,-74.2,0.0,top
D147,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,114.35,-74.2,0.0,top
D148,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,116.65,-74.2,0.0,top
D149,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,118.95,-74.2,0.0,top
D15,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,141.95,-53.5,0.0,top
D150,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,121.25,-74.2,0.0,top
D151,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,123.55,-74.2,0.0,top
D152,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,125.85,-74.2,0.0,top
D153,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,128.15,-74.2,0.0,top
D154,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,130.45,-74.2,0.0,top
D155,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,132.75,-74.2,0.0,top
D156,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,135.05,-74.2,0.0,top
D157,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,137.35,-74.2,0.0,top
D158,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,139.65,-74.2,0.0,top
D159,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,141.95,-74.2,0.0,top
D16,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,144.25,-53.5,0.0,top
D160,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,144.25,-74.2,0.0,top
D161,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,109.75,-76.5,0.0,top
D162,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,112.05,-76.5,0.0,top
D163,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,114.35,-76.5,0.0,top
D164,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,116.65,-76.5,0.0,top
D165,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,118.95,-76.5,0.0,top
D166,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,121.25,-76.5,0.0,top
D167,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,123.55,-76.5,0.0,top
D168,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,125.85,-76.5,0.0,top
D169,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,128.15,-76.5,0.0,top
D17,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,109.75,-55.8,0.0,top
D170,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,130.45,-76.5,0.0,top
D171,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,132.75,-76.5,0.0,top
D172,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,135.05,-76.5,0.0,top
D173,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,137.35,-76.5,0.0,top
D174,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,139.65,-76.5,0.0,top
D175,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,141.95,-76.5,0.0,top
D176,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,144.25,-76.5,0.0,top
D177,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,109.75,-78.8,0.0,top
D178,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,112.05,-78.8,0.0,top
D179,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,114.35,-78.8,0.0,top
D18,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,112.05,-55.8,0.0,top
D180,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,116.65,-78.8,0.0,top
D181,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,118.95,-78.8,0.0,top
D182,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,121.25,-78.8,0.0,top
D183,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,123.55,-78.8,0.0,top
D184,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,125.85,-78.8,0.0,top
D185,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,128.15,-78.8,0.0,top
D186,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,130.45,-78.8,0.0,top
D187,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,132.75,-78.8,0.0,top
D188,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,135.05,-78.8,0.0,top
D189,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,137.35,-78.8,0.0,top
D19,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,114.35,-55.8,0.0,top
D190,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,139.65,-78.8,0.0,top
D191,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,141.95,-78.8,0.0,top
D192,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,144.25,-78.8,0.0,top
D193,1N5819,D_SOD-323,144.523,-81.85,90.0,top
D194,1N4007,D_SOD-123F,122.95,-90.95,-90.0,top
D195,LED,D_0603_1608Metric,114.55,-89.65,-90.0,top
D196,1N4148,D_SOD-523,116.04,-80.7,180.0,top
D197,LED,D_0603_1608Metric,141.2,-90.35,-90.0,top
D198,1N4148,D_SOD-523,116.04,-82.1,180.0,top
D199,1N4148,D_SOD-523,118.9,-94.3,0.0,top
D2,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,112.05,-53.5,0.0,top
D20,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,116.65,-55.8,0.0,top
D21,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,118.95,-55.8,0.0,top
D22,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,121.25,-55.8,0.0,top
D23,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,123.55,-55.8,0.0,top
D24,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,125.85,-55.8,0.0,top
D25,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,128.15,-55.8,0.0,top
D26,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,130.45,-55.8,0.0,top
D27,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,132.75,-55.8,0.0,top
D28,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,135.05,-55.8,0.0,top
D29,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,137.35,-55.8,0.0,top
D3,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,114.35,-53.5,0.0,top
D30,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,139.65,-55.8,0.0,top
D31,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,141.95,-55.8,0.0,top
D32,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,144.25,-55.8,0.0,top
D33,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,109.75,-58.1,0.0,top
D34,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,112.05,-58.1,0.0,top
D35,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,114.35,-58.1,0.0,top
D36,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,116.65,-58.1,0.0,top
D37,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,118.95,-58.1,0.0,top
D38,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,121.25,-58.1,0.0,top
D39,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,123.55,-58.1,0.0,top
D4,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,116.65,-53.5,0.0,top
D40,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,125.85,-58.1,0.0,top
D41,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,128.15,-58.1,0.0,top
D42,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,130.45,-58.1,0.0,top
D43,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,132.75,-58.1,0.0,top
D44,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,135.05,-58.1,0.0,top
D45,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,137.35,-58.1,0.0,top
D46,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,139.65,-58.1,0.0,top
D47,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,141.95,-58.1,0.0,top
D48,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,144.25,-58.1,0.0,top
